title,content,location,company,email,job_sector,job_type,qualifications,field_of_study,career_level,job_apply_type,experience,job_apply_url,posted_time,salary,skills,expiry
"Vice President, Corporate Sustainability Reporting","About this roleBusiness Unit Overview:BlackRock Finance and Strategy consists of Finance professionals in disciplines such as Controllers, Financial Planning and Analysis, Treasury, Tax, Regulatory Reporting, Strategy and Development, Accounting Operations and Corporate Accounting.  This role extends the Controllers Group based in Edinburgh into Mumbai and sits within the Global Corporate Sustainability Reporting (GCSC) team.  GCSC is a new team with responsibility for both voluntary and mandatory sustainability reporting globally, impacting BlackRock’s corporate entities, as well as collation and ownership of BlackRock’s Greenhouse Gas (GHG) Inventory.    In its day-to-day activities the team has significant interaction with the US based Corporate Sustainability team which has responsibility for, amongst other things, accelerating the firm’s environmental sustainability efforts.  The team also offers excellent opportunities to interact with an array of BlackRock teams, including: the Enterprise Services team, Human Resources and Corporate Affairs as well as the other global Finance teams.Purpose/Background:A senior accountant/sustainability specialist based in Mumbai is required to join the GCSC team , reporting into the Global Corporate Sustainability Controller based in Edinburgh.  The team currently comprises 7 employees, including the Global Corporate Sustainability Controller who leads the team.  The team brings new responsibilities to Finance and Strategy and has ownership of BlackRock’s operational GHG emissions inventory as well as sustainability disclosures impacting BlackRock at the corporate entity level whilst also establishing a control and governance framework and identifying and impact assessing upcoming regulations.Key Responsibilities:Maintaining BlackRock’s global GHG emissions inventory including data collection, analysis and conversion to CO­2e emissions in line with the GHG Protocol.Ownership of BlackRock’s annual GHG Emissions Report.Working closely with a third party emissions consultant to calculate emissions from source data and assess and conclude on the impact of potential methodology changes to the inventory.Establishing and maintaining appropriate governance structures to obtain approval and sign off of data included in various reporting.Implementing new and maintaining current internal controls around the data provided and emissions calculated.Establishing robust ‘audit-ready’ support for corporate sustainability disclosures.Partnering with Financial Controls Reporting / Internal Audit / External Auditors to build out controls’ framework for sustainability reporting and implementing controls in AuditBoard.Preparing materials for presentation at key senior committees such as the Corporate Sustainability Disclosure Committee.Coordinating with the Mandatory and Voluntary reporting sustainability sub-teams to assess new requirements in relation to the GHG emissions inventory and establishing a process to obtain newly required data.Preparing materials and participating in presentations to further educate internal stakeholders on BlackRock’s operational GHG emissions inventory and value prospect of team.Supporting stakeholder queries directed to the team.Contributing to team meetings and enhancing team governance.Other BAU activities, ad hoc tasks and project work as required.Development Value:This position will allow the individual to become involved in a new and exciting area of corporate reporting with excellent opportunities for expanding their network outside of Finance and Strategy.  GCSC  is a small team so there will be opportunities to get involved in many aspects of the team’s output. Experience/Competencies: As this is an emerging area of Corporate Reporting, some competencies are required whilst others would be advantageous but are not prohibitive to being successful in the role.RequiredAbility to adapt to changing priorities in a rapidly evolving reporting environment.Excellent Excel and PowerPoint skills and strong working knowledge of Microsoft Word.Ability to clearly and confidently communicate in verbal and written form with colleagues of different levels.Strong understanding of robust reporting controls including design and implementation.Highly organized and methodical with the ability to manage multiple deliverables.AdvantageousExperience with the GHG Protocol and application of Protocol guidance.Prior experience/strong interest in sustainability reporting.Experience in reporting of non-financial data.Experience managing a team remotely.Skills/Qualifications:CA/ACA qualified or equivalent qualification desirable but not essential.7 years plus of accounting or sustainability related experience (ideally in Financial Services).Organised and methodical, possessing attention to detail, good understanding of controls, good analytical skills and the ability to work to tight deadlines.Our benefitsTo help you stay energized, engaged and inspired, we offer a wide range of benefits including a strong retirement plan, tuition reimbursement, comprehensive healthcare, support for working parents and Flexible Time Off (FTO) so you can relax, recharge and be there for the people you care about.Our hybrid work modelBlackRock’s hybrid work model is designed to enable a culture of collaboration and apprenticeship that enriches the experience of our employees, while supporting flexibility for all. Employees are currently required to work at least 4 days in the office per week, with the flexibility to work from home 1 day a week. Some business groups may require more time in the office due to their roles and responsibilities. We remain focused on increasing the impactful moments that arise when we work together in person – aligned with our commitment to performance and innovation. As a new joiner, you can count on this hybrid model to accelerate your learning and onboarding experience here at BlackRock.About BlackRockAt BlackRock, we are all connected by one mission: to help more and more people experience financial well-being.  Our clients, and the people they serve, are saving for retirement, paying for their children’s educations, buying homes and starting businesses. Their investments also help to strengthen the global economy: support businesses small and large; finance infrastructure projects that connect and power cities; and facilitate innovations that drive progress.This mission would not be possible without our smartest investment – the one we make in our employees. It’s why we’re dedicated to creating an environment where our colleagues feel welcomed, valued and supported with networks, benefits and development opportunities to help them thrive.For additional information on BlackRock, please visit @blackrock | Twitter: @blackrock | LinkedIn: www.linkedin.com/company/blackrockBlackRock is proud to be an Equal Opportunity Employer.  We evaluate qualified applicants without regard to age, disability, family status, gender identity, race, religion, sex, sexual orientation and other protected attributes at law.",India,"BlackRock, Inc",,['Business and Management'],['Contract'],,,Entry,,0-1 Years,https://www.bayt.com/en/india/jobs/vice-president-corporate-sustainability-reporting-71754549/,13 hours ago,,,
"Finance Manager - Turkey, Izmir","About World Business Lenders (www.wbl.com):World Business Lenders (WBL) provides general purpose short-term real estate collateralized commercial loans to a broad customer base comprised of small and medium sized businesses throughout the United States that lack access to traditional funding.This is a Contract/Consultant position. Generally, working hours will be 9:00am-6:00pm Eastern Time, Monday through Friday, although hours worked may be greater based upon operational requirements. The job requires excellent oral and written command of the English language. Resumes must be submitted in English. This is a key leadership position that will enable the successful candidate to join a rapidly growing company, report directly to and work closely with the Financial Controller and CFO, and play a critical senior role in the Finance department.",Türkiye,WBL,,"['Accounting, Finance, and Insurance']",['Contract'],,,Entry,,0-1 Years,https://www.bayt.com/en/turkiye/jobs/finance-manager-turkey-izmir-71754390/,13 hours ago,,,
Retail Account Manager,"If you’re here, it’s because you’re looking for an&nbsp;exciting ride.&nbsp;A ride that will fuel up your ambitions to take on a new challenge and stretch yourself beyond your comfort zone.&nbsp;We’ll deliver a non-vanilla culture built on talent, where we work to amplify the impact on millions of people, paving the way forward together.&nbsp;&nbsp;Not your usual app. We are the fastest-growing multi-category app connecting millions of users with businesses, and couriers, offering on-demand services from more than 170,000 local restaurants, grocers and supermarkets, and high street retail stores. We operate in more than 1500 cities across 25 countries.Together we revolutionize the way people connect with their everyday needs, from delivering essentials to connecting our ecosystem of users through innovative solutions powered by technology. For us, every day is filled with purpose.What makes our ride unique?&nbsp;🤝 Our culture and strong values.&nbsp;💪 Our career development philosophy. &nbsp;🤝 Our commitment to being a force for good.&nbsp;&nbsp;We have a vision: To give everyone easy access to anything in their cities. And this is where your ride starts.YOUR MISSIONWe're looking for a Retail Account Manager who will be responsible for building and developing partnerships with top Retailers.THE JOURNEYSign key partnerships with top retail partners on our platform, ensuring everybody winsBe responsible for the entire sales process with new partners to source and negotiate the best products in your cities to deliver to our customersStart building a partner portfolio,&nbsp; create new business opportunities, and initiate partnership collaborationsMeet monthly and quarterly objectives defined by the companyAnalyse partner operations and provide plans, tools, and solutions in order to provide best-in-class experiencesSupport negotiations with new partnersWHAT YOU WILL BRING TO THE RIDEData-driven mentality: takes decisions based on data and makes business judgments when necessaryYou’re an owner, you have a natural bias for action, always pushing for things to happen, objective and deadline-orientedYou find smart and elegant solutions to complex, multi-disciplinary problemsExperience in understanding retail business, as well as revenue dynamics and drivers.Can negotiate commercials and manage large partner accounts.English proficiencyIndividuals representing diverse profiles, and abilities, encompassing various genders, ethnicities, and backgrounds, are less likely to apply for this role if they do not possess solid experience in 100% of these areas. Even if it seems you don't meet our musts don't let it stop you, we are all about finding the best talent out there! Skills can be learned, and embracing diversity is invaluable.We believe driven talent deserves:💪 Private health insurance to keep you at your peak.🍔 Monthly Glovo credit to satisfy your cravings!🏖️ Extra time off, the freedom to work from home two days a week, and the opportunity to work from anywhere for up to three weeks a year!👪 Enhanced parental leave, and office-based nursery.🧠 Online therapy and wellbeing benefits to ensure your mental well-being.Here at Glovo, we thrive on diversity, we believe it enhances our teams, products, and culture. We know that the best ideas come from a mashup of brilliant diverse minds. This is why we are committed to providing equal opportunities to talent from all backgrounds - all genders, racial/diverse backgrounds, abilities, ages, sexual orientations and all other unique characteristics that make you YOU. We will encourage you to bring your authentic self to work, fostering an inclusive environment where everyone feels heard.&nbsp;Feel free to note your pronouns in your application (e.g., she/her/hers, he/him/his, they/them/theirs, etc).So, ready to take the wheel and make this the ride of your life?&nbsp;Delve into our culture by taking a peek at our Instagram and check out our Linkedin and website!",Casablanca · Morocco,Glovo,,"['Retail, Wholesale, and Inventory Management']",['Contract'],,,Entry,,0-1 Years,https://www.bayt.com/en/morocco/jobs/retail-account-manager-71754336/,13 hours ago,,,
Project Manager - ClickUp,"Job Title: Project Manager - ClickUp Position Type: Full-time, RemoteWorking Hours: CST Time ZoneAbout Pavago:Pavago is looking for a highly organized Project Manager - ClcikUp to oversee project management processes and ensure the smooth execution of tasks and projects. As the main manager of the project management software, ClickUp, you will be responsible for managing team workloads, reviewing tasks, and ensuring deadlines are met. If you're detail-oriented, proactive, and have experience with project management tools, this role is a great fit for you.Responsibilities:  Project Management: Oversee and manage daily operations in ClickUp by reviewing tasks, workloads, and time tracking estimates. You will be the go-to person for managing Gantt Charts on Clickup.   Task Prioritization: Shift projects and tasks as needed, ensuring team members stay on track to meet deadlines and manage their workloads efficiently.  Team Oversight: Oversee contractors and production team members, ensuring they have the necessary files, information, and support to complete their tasks.  Communication & Follow-Up: Use ClickUp and Slack to communicate with team members, set task priorities, and follow up on project status and time-tracking estimates.  Process Improvement: Identify opportunities for process improvements and automation within ClickUp to streamline workflows and increase efficiency. Required Skills and Experience:  Experience: Proven experience in managing projects and teams using project management tools like ClickUp or similar platforms.  Technical Proficiency: Strong knowledge of project management software (ClickUp), communication tools (Slack), and the ability to find and implement workflow automation.  Communication: Excellent verbal and written communication skills, with experience collaborating across remote teams and providing clear updates on task progress and priorities.  What Makes You a Perfect Fit:  Leadership: You are proactive in managing tasks and guiding team members to meet deadlines efficiently.  Problem-Solving: You’re skilled at shifting tasks and re-prioritizing projects to ensure smooth workflow and timely project completion.  Process Optimization: You look for ways to improve workflows and leverage automation tools to streamline project management.  Collaboration: You communicate clearly with team members to ensure everyone is aligned and has the resources they need to succeed.  Interview Process:  Initial Phone Call: Engage in a brief conversation to understand your experience and suitability for the role.  Video Interview: Delve deeper into your professional background and assess your skills in a 30-minute call.  Practical Assessment: Showcase your creative abilities through practical tasks relevant to the role.  Final Interview: Have a comprehensive discussion with our client to ensure mutual alignment.  Background Checks: Conduct swift verification of your references and past employment details.  Ready to Apply?If you're ready to take on a key role in overseeing production workflows and guiding the team to success, Pavago offers an exciting opportunity to shape the way projects are managed. You’ll collaborate with a dynamic team, leveraging cutting-edge tools and automation to create efficient processes. Join our client as a Project Manager - ClickUp and help drive their projects forward while contributing to their continuous improvement.",Pakistan,pavago,,"['Architecture, Design, and Construction']",['Contract'],,,Entry,,0-1 Years,https://www.bayt.com/en/pakistan/jobs/project-manager-clickup-71754487/,13 hours ago,,,
Digital Marketing Specialist,"An innovative company at the forefront of the design and construction industry, delivering cutting-edge projects with a strong focus on quality and detail. They are seeking a Digital Marketing Specialist who is execution-focused and passionate about identifying and driving digital marketing opportunities.Location:Fully-Remote (Work from Home), 9 AM - 5 PM EST Key Responsibilities:Opportunity Identification: Identify digital marketing opportunities across platforms and execute strategies to capitalize on them.Content Calendar Management: Create and manage the content calendar, ensuring consistent and strategic social media posting across different channels aligned with company goals.Campaign Management: Launch and manage digital marketing campaigns to boost traffic, brand awareness, and lead generation.Audience Targeting: Identify and segment target audiences to enhance marketing efforts and optimize conversions.HubSpot Management: Utilize HubSpot to manage data and campaigns, track marketing performance, and generate insights for improvement.Growth Mindset: Take initiative in all digital marketing tasks and seek opportunities to grow into a marketing leadership role.What Success Looks Like:Effective execution of digital marketing strategies that drive traffic, engagement, and conversions.A well-maintained and effective content calendar that enhances the company’s brand presence across social media.Accurate identification and targeting of the most relevant audiences, improving marketing effectiveness.Continuous monitoring and optimization of campaigns through data-driven insights and HubSpot tools.Qualifications:Experience: 3+ years of experience in digital marketing, with hands-on experience in managing social media, inbound marketing, and digital campaigns.HubSpot Proficiency: Experience with HubSpot for data management, audience segmentation, and campaign tracking.Digital Marketing Skills: Strong understanding of digital marketing strategies, including audience targeting and content creation.Growth-Oriented: Ambition to grow into a marketing leadership role, with a proactive and self-driven mindset.Communication: Fluent in English, with excellent verbal and written communication skills.Industry Passion: Passion for the design and construction industry is highly preferred.Opportunity: If you are a results-driven digital marketing professional with a passion for execution and an ambition to grow into a leadership role, we encourage you to apply.Application Process:To be considered for this role these steps need to be followed:Fill in the application formRecord a video showcasing your skill sets",Libya,ProjectGrowth,,"['Communications, Marketing, and Sales']",['Contract'],,,Entry,,0-1 Years,https://www.bayt.com/en/libya/jobs/digital-marketing-specialist-71754670/,13 hours ago,,,
Graphic Designer (Fully Remote),"Top 3 Reasons To Join Us Competitive Salary 100% Remote Working on the latest tech for the Insurtech Market Leader About UsAt CoverGo, our mission is to empower all insurance companies to make insurance 100% digital and accessible to everyone. We are a leading global no-code insurance platform for health, life, and P&C We’re the winner of the Insurtech of the Year in all of Asia and other awards globally We work with insurance enterprise clients such as AXA, Bupa, MSIG, Dai-ichi, Bank of China Group Insurance, and many more We're an international, diverse team of over 120 people with 30 nationalities and team members working remotely from all over the world We are fully funded and backed by reputable VC funds and strategic institutional investors We have a global presence in Asia, EMEA and the Americas We’ve grown our annualized revenue by over 30x since January 2021 We’re constantly working towards making CoverGo a workplace that you love coming to. We deeply believe that bringing together a diversity of thoughts, expressions, and perspectives is key to building the best culture for equally diverse communities all over the world and a workplace that you love coming to. We deeply believe that bringing together a diversity of thoughts, expressions, and perspectives is key to building the best culture for equally diverse communities all over the world About the RoleAs a Graphic Designer, you will play a crucial role in enhancing CoverGo's visual identity and driving creative initiatives across various platforms. Your core responsibilities will include designing visually appealing graphics such as website banners, social media posts, and infographics while collaborating closely with the marketing team to deliver innovative solutions. You will maintain brand identity guidelines, ensure timely completion of design deliverables, and stay updated on the latest design trends to elevate our overall creative output.What You Will Do Design visually appealing graphics, including but not limited to website banners, social media posts, infographics, and presentations Collaborate with the marketing team to understand project requirements and deliver creative solutions Create and maintain brand identity guidelines to align with the company's vision and values Participate in brainstorming sessions to develop innovative design concepts Ensure all design deliverables are created within the deadlines and adhere to the company's quality standards Stay up-to-date with graphic design trends and best practices to enhance the overall quality of the company's design outputs What We Need At least 2-3 years of experience in graphic design  At least 1 year of experience in a creative or design agency Proficient in graphic design software such as Adobe Photoshop, Illustrator, Canva, and InDesign Proficient in Google Slides/Powerpoint Excellent attention to detail and ability to present ideas to the team Ability to work independently and collaboratively in a fast-paced environment Strong verbal and written communication skills Knowledge of motion graphics and video editing tools is a plus Must be physically based in India Why You'll Love Working Here Fully Remote Flexible Leave International Environment Competitive renumeration package Performance Bonus Stock Options after 6 months Company activities and events Learning and development plan Remote work allowance CoverGo Company VideoBy submitting your application, you confirm that you have read, understood, and accepted the content of CoverGo’s Privacy Notice and you consent to the processing of your data as part of this application.",India,CoverGo Limited,,"['Creative Arts, Event Management and Entertainment']",['Contract'],,,Entry,,0-1 Years,https://www.bayt.com/en/india/jobs/graphic-designer-fully-remote-71754249/,13 hours ago,,,
Execurive Search recruiter (Real Estate industry),"Mira Search is a a global recruiting agency. So we work with internal clients (different parts of our group of company) like an inhouse recruiters and with external clients like a classical recruitment agency. Our dedicated team is committed to delivering ideal talent matches, offering comprehensive HR solutions, and fostering a culture of expertise and transparency.As a Executive recruiter at Mira Search, you'll have the opportunity to connect the right talent with the right opportunities, playing a vital role in shaping careers and driving organizational success. We value agility, adaptability, and a global mindset, as we cater to diverse industries and clients worldwide.Now your main task will be a hiring the best specialists in Real Estate, Constraction, Development industries on UAE (mostly) and different markets. All of this vacansies are open in our company, so it's in-house formatAfter that you can choose the tipe of vacansies that you want to work",UAE,Mira Search,,"['Human Resources, Recruitment, and Organizational Development']",['Contract'],,,Entry,,0-1 Years,https://www.bayt.com/en/uae/jobs/execurive-search-recruiter-real-estate-industry-71754518/,13 hours ago,,,
Recruiter - Leadership & Support Hiring,"Company DescriptionAbout SutherlandArtificial Intelligence. Automation. Cloud engineering. Advanced analytics. For business leaders, these are key factors of success. For us, they’re our core expertise.
We work with iconic brands worldwide. We bring them a unique value proposition through market-leading technology and business process excellence.We’ve created over 200 unique inventions under several patents across AI and other critical technologies. Leveraging our advanced products and platforms, we drive digital transformation, optimize critical business operations, reinvent experiences, and pioneer new solutions, all provided through a seamless “as a service” model.For each company, we provide new keys for their businesses, the people they work with, and the customers they serve. We tailor proven and rapid formulas, to fit their unique DNA. We bring together human expertise and artificial intelligence to develop digital chemistry. This unlocks new possibilities, transformative outcomes and enduring relationships.Sutherland
Unlocking digital performance. Delivering measurable results.Job DescriptionSutherland EGYPT is looking to add a driven Recruiter to our Talent Acquisition Team! This role will focus on hiring leadership and support staff for our Bulgaria geo! You'll even have the opportunity to pivot to high-volume hiring as needed. If you're looking to be a part of a fun, driven and innovative TA Team - we want to hear from you!As a Recruiter with Sutherland, you'll get to:Be a key part of Bulgaria-based recruiting and hiring efforts to ensure a positive and smooth experience for candidates and new hires!Build the company: Identify and recruit the best-fit personnel to help drive the team and company to higher levels.Strengthen relationships: Establish and maintain communication with outside resources to help build a network for sourcing qualified applicants.Support the team: Assist the completion of pre-employment requirements.QualificationsOur most successful candidates will have:At least 2 years of experience recruiting operational leaders/managers/support staff in the Bulgaria regionHigh Volume recruiting experience is a major plus!Ability to identify, recruit and develop talent in BulgariaExperience using an ATS, SmartRecruiters experience is a major plus!Ability to work independently Ability to efficiently manage time and keep track of multiple schedules, meetings and initiativesAbility to be pro-active in developing trust and professional rapport with employees and team members; work as a team-playerStrong verbal and written communication skills; be able to communicate in a clear, constructive and professional manner - must have strong business acumenAdditional InformationAll your information will be kept confidential according to EEO guidelines.",Cairo · Egypt,Sutherland,,"['Human Resources, Recruitment, and Organizational Development']",['Contract'],,,Entry,,0-1 Years,https://www.bayt.com/en/egypt/jobs/recruiter-leadership-support-hiring-71753926/,13 hours ago,,,
AI Engineering- Vice President,"About this roleJob DescriptionBlackRock is one of the world’s leading providers of investment, advisory and risk management solutions, including Aladdin our investment & risk management technology. Aladdin is a comprehensive technology platform used by BlackRock and delivered to our clients to unify the investment management process across public and private markets. Aladdin integrates risk, investment, and client management processes through a common data language, enabling scale, insights, and business transformation. At BlackRock the Aladdin team is made up of the Aladdin Client Business, Aladdin Wealth Tech, Aladdin Product, Aladdin Data, and Aladdin Engineering.Join our AI Engineering team as a part of Aladdin Engineering and be at the forefront of financial technology innovation. Aladdin Engineering is the team that designs, builds and runs Aladdin. Within Aladdin Engineering there are multiple engineering teams focused on building the different products and platform services for Aladdin.  As a part of the AI Engineering team, you will play a crucial role in shaping the AI ecosystem across the firm and the Aladdin application ecosystem. Our goal is to build and maintain a leading-edge AI platform for all users of Aladdin, notably investors, operations teams and data scientists. We are focused on evolving our AI platform and building dynamic experiences that accelerate firm-wide productivity, client experience, and alpha generation.We are looking for highly motivated and determined engineers to set and drive a clear AI Software Strategy delivering cohesive AI experiences across the firm. At BlackRock, you will have the opportunity to work with some of the brightest minds in the industry, leveraging your insights and expertise to advance AI Engineering. We value diversity and believe it is the key to our success, ensuring that your unique skills, curiosity, and passion are nurtured. Join us and grow both technically and personally, while working at one of the most recognized financial companies in the world while being part of an AI software development team.Key Responsibilities:Design and build the next generation of the world's best investment management technology platform, focusing on managing various investment lifecycle processes and investment research.Integrate new AI services across the platform and Aladdin application ecosystem.Refine business and functional requirements and translate them into scalable technical designs.Collaborate with product engineering teams to implement comprehensive AI/ML-based solutions from start to finish.Apply quality software engineering practices throughout the software development lifecycle.Optimize the software delivery and workflow of the team.Work with team members in a multi-office, multi-country environment.Requirements:B.S./M.S. degree in Computer Science, Engineering, or a related subject area with 2+ years of proven experience, or equivalent experience, for Associate positions and 4+ years, or equivalent experience, for Vice President.Proficiency and hands-on experience in object-oriented programming with Java and Python.Proficiency in designing and building scalable APIs and Microservices.Experience with cloud platforms such as Azure (Preferred), AWS, or GCP.Ability to reverse engineering existing applications.Grit in the face of technical obstaclesExperience working in Agile development teams with excellent collaboration skills.Nice to have:Understanding of prompt engineering and prompt tuning.Experience building applications using LLM frameworks such as LangChain, Llama Index, and Semantic Kernel.Experience with vector databases like Faiss or ChromaKnowledge of ML model evaluation to ensure consistent performance with changing data.Familiarity with MLOps and ML model lifecycle pipelines.Experience with ML model training and fine-tuning.Familiarity with event-driven architecture and messaging frameworks like Kafka.Experience with NoSQL datastores like CassandraKnowledge of containerization and orchestration technologies.Our benefitsTo help you stay energized, engaged and inspired, we offer a wide range of benefits including a strong retirement plan, tuition reimbursement, comprehensive healthcare, support for working parents and Flexible Time Off (FTO) so you can relax, recharge and be there for the people you care about.Our hybrid work modelBlackRock’s hybrid work model is designed to enable a culture of collaboration and apprenticeship that enriches the experience of our employees, while supporting flexibility for all. Employees are currently required to work at least 4 days in the office per week, with the flexibility to work from home 1 day a week. Some business groups may require more time in the office due to their roles and responsibilities. We remain focused on increasing the impactful moments that arise when we work together in person – aligned with our commitment to performance and innovation. As a new joiner, you can count on this hybrid model to accelerate your learning and onboarding experience here at BlackRock.About BlackRockAt BlackRock, we are all connected by one mission: to help more and more people experience financial well-being.  Our clients, and the people they serve, are saving for retirement, paying for their children’s educations, buying homes and starting businesses. Their investments also help to strengthen the global economy: support businesses small and large; finance infrastructure projects that connect and power cities; and facilitate innovations that drive progress.This mission would not be possible without our smartest investment – the one we make in our employees. It’s why we’re dedicated to creating an environment where our colleagues feel welcomed, valued and supported with networks, benefits and development opportunities to help them thrive.For additional information on BlackRock, please visit @blackrock | Twitter: @blackrock | LinkedIn: www.linkedin.com/company/blackrockBlackRock is proud to be an Equal Opportunity Employer.  We evaluate qualified applicants without regard to age, disability, family status, gender identity, race, religion, sex, sexual orientation and other protected attributes at law.",India,"BlackRock, Inc",,['Engineering and Technology'],['Contract'],,,Entry,,0-1 Years,https://www.bayt.com/en/india/jobs/ai-engineering-vice-president-71754547/,13 hours ago,,,
Senior React.JS Developer (Remote),"Job SummaryAs a Senior React Developer, your primary focus will be on developing user interface components and implementing them using well-known React.js workflows (such as Flux or Redux). You will ensure that these components and the overall application are robust, maintainable, and scalable.In this role, you will collaborate with cross-functional teams, mentor junior developers, and lead projects from concept through execution. A commitment to collaborative problem-solving, sophisticated design, and delivering quality products is essential. Key Responsibilities:Development & CodingDesign and develop high-performance web applications using React.js.Implement robust and reusable front-end components and tools.Write clean, maintainable, and efficient code following best practices.Optimize components for maximum performance across different devices and browsers. Collaboration & CommunicationCollaborate with UI/UX designers to create seamless user interfaces.Work closely with backend teams to integrate APIs and microservices.Participate in the full software development lifecycle, from concept to deployment.Communicate effectively with cross-functional teams, including product managers and engineers.Maintenance & TroubleshootingMaintain and improve the codebase for long-term maintainability.Troubleshoot and resolve bugs, performance bottlenecks, and other issues.Mentorship & LeadershipMentor and guide junior developers on best practices and code quality.Participate in code reviews and offer constructive feedback.Documentation & ProcessWrite and maintain technical documentation for the codebase.Contribute to the continuous improvement of the development process, including testing and deployment strategies.Learning & InnovationStay up to date with the latest advancements in React.js and related front-end technologies.Recommend and implement improvements to enhance productivity and code quality.Qualifications:Bachelor’s degree in computer science, Engineering, or a related field. Master’s degree preferred.5+ years of experience in a development role with a focus on React.js.Proven track record as a React developer in a senior or lead role.Strong understanding of JavaScript, CSS, HTML, and front-end languages.Proficiency with tools including React, Webpack, Enzyme, Redux, and Flux.Experience with user interface design principles and best practices.Familiarity with Material UI Component library.Knowledge of performance testing frameworks including Mocha and Jest.Experience with browser-based debugging and performance testing software.Excellent troubleshooting and problem-solving skills.Strong project management skills with the ability to prioritize tasks and meet deadlines.Excellent verbal and written communication skills, with the ability to convey complex ideas clearly.Preferred Skills:Experience with TypeScript and its integration with React.Familiarity with server-side rendering (SSR) techniques and frameworks.Knowledge of RESTful APIs and experience with API integrations.Understanding of Agile development methodologies.",Cairo · Egypt,Azdan Business Analytics DMCC,,['Engineering and Technology'],['Contract'],,,Entry,,0-1 Years,https://www.bayt.com/en/egypt/jobs/senior-react-js-developer-remote-71751765/,Yesterday,,,
Manager Growth Analytics,"Careem is building the Everything App for the greater Middle East, making it easier than ever to move around, order food and groceries, manage payments, and more. Careem is led by a powerful purpose to simplify and improve the lives of people and build an awesome organisation that inspires. Since 2012, Careem has created earnings for over 2.5 million Captains, simplified the lives of over 50 million customers, and built a platform for the region’s best talent to thrive and for entrepreneurs to scale their businesses. Careem operates in over 70 cities across 10 countries, from Morocco to Pakistan.About the teamOur team is responsible for the health of the SuperApp base from a demand perspective across all verticals. They run advanced analysis to understand the base, define gaps and segment it properly, launch experiments &amp;&nbsp; initiatives to grow and retain the base. In addition they automate scalable initiatives and define KPIs and giving visibility through building dashboards.What you'll doRun advanced analysis to better define gaps within the base and help the team maintain a healthier base&nbsp;Define KPIs and and build visibility on all demand growth related metricsTake the initiative in running different experiments for users across the funnel and automate successful onesWork closely with verticals’ teams to align on the best demand strategies for the platform &amp; the vertical to grow both in&nbsp; parallelWork closely with the product team to A/B test different features on the platform and scale the ones that are successfulBuild dashboard &amp; visibility tools to ensure all stakeholders are able to track all growth related KPIsWhat you'll need4-6 years experience in an analytics/Growth roleHighly experienced with tools like SQL, Python, tableauHighly experienced with building dashboards and running advanced analysisDeep understanding of the growth funnel and how to run initiatives to activate, retain and reactivate usersAbility to communicate and manage multiple stakeholders at the same timeHave a good background with CRM tools such as Braze (preferable)&nbsp;What we’ll provide youWe offer colleagues the opportunity to drive impact in the region while they learn and grow. As a full time Careem colleague, you will be able to:Work and learn from great minds by joining a community of inspiring colleagues.Put your passion to work in a purposeful organisation dedicated to creating impact in a region with a lot of untapped potential.Explore new opportunities to learn and grow every day.Work 4 days a week in office &amp; 1 day from home, and remotely from any country in the world for 30 days a year with unlimited vacation days per year. (If you are in an individual contributor role in tech, you will have 2 office days a week and 3 to work from home.)Access to healthcare benefits and fitness reimbursements for health activities including gym, health club, and training classes.",Karachi · Pakistan,Careem,,"['Communications, Marketing, and Sales']",['Contract'],,,Entry,,0-1 Years,https://www.bayt.com/en/pakistan/jobs/manager-growth-analytics-71751242/,Yesterday,,,
