sector,expiry,title,content,location,company,email,job_sector,job_type,qualifications,field_of_study,career_level,job_apply_type,experience,job_apply_url,posted_time,salary,skills
"Communications, Marketing, and Sales",,Admission Executive,"Join our dynamic team at Riva Institute of Aesthetics!
We are seeking experienced professionals in sales and admissions for the beauty and aestheti...",Dubai,Riva Institute of Aesthetics,,,Contract,,,Entry,,1+ Years,https://www.gulfjobs.com/job/admission-executive-72937,14 Sep 2024 -,3000 - 4000 UAE Dirhams(Monthly),Education
"Consultancy, Training and Education",,Full-Time and Part-Time Abacus Teachers (Dubai & Sharjah),We are seeking passionate and dedicated Abacus Teachers to join our team on a full-time or part-time basis. If you have a love for teaching and enj...,Dubai,UCMAS,,,Full time,Bachelors,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/full-time-and-part-time-abacus-teachers-dubai-sharjah-72825,12 Sep 2024 -,1 -  UAE Dirhams(Monthly),"Maths, Teaching"
Health and Wellness,,Admin/Receptionist Position,"We are hiring an Admin/Receptionist for an Abacus Educational Academy in Dubai. The ideal candidate should have:

- Bachelor’s degree in Administra...",Deira,UCMAS,,,Full time,Bachelors,,Entry,,1+ Years,https://www.gulfjobs.com/job/adminreceptionist-position-72824,12 Sep 2024 -,1 -  UAE Dirhams(Monthly),Administration
Health and Wellness,,Admin/ Receptionist Position,"We are hiring an Admin/Receptionist for an Abacus Educational Academy in Sharjah. The ideal candidate should have:

- Bachelor’s degree in Administ...",Sharjah,UCMAS,,,Contract,Bachelors,,Entry,,1+ Years,https://www.gulfjobs.com/job/admin-receptionist-position-72823,12 Sep 2024 -,1 -  UAE Dirhams(Monthly),Administration
"Communications, Marketing, and Sales",,Sales Representative,"Join an innovative International After School Tuition Center dedicated to shaping the future of education.""
We are looking for: Teachers with sales...",Dubai,Learntopia,,,Contract,Bachelors,,Mid-Level,,4+ Years,https://www.gulfjobs.com/job/sales-representative-72760,10 Sep 2024 -,3000 - 5000 UAE Dirhams(Monthly),"Ad Sales, Advertising Sales, After Sales Service, Educational Marketing, Educational Sales"
"Consultancy, Training and Education",,Part-Time French Teacher,Are you passionate about teaching young children and sharing the beauty of the French language? We are looking for a dedicated part-time French tea...,Manama,Rise and Shine,,,Part time,Bachelors,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/part-time-french-teacher-72735,10 Sep 2024 -,100 -  Bahrain Dinar(Monthly),"French Language, Teaching"
"Consultancy, Training and Education",,Nursery Supervisor,"Qualification:
• Bachelor's Degree in Education
• Bachelor's Degree in Early Education
• Any Bachelor's Degree with Early Childhood Education (CACH...",Abu Dhabi,Barney Nursery,,,Contract,,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/nursery-supervisor-72705,09 Sep 2024 -,1 -  UAE Dirhams(Monthly),"English, Teaching"
Manufacturing and Production,,Lift Technician,"we are hiring for lift technician, full time post, should be know maintenance and troubleshooting. electical knowledge will be plus point",Sharjah,Volks Elevators and escalators fixing llc,,,Full time,Diploma,,Entry,,1+ Years,https://www.gulfjobs.com/job/lift-technician-71961,22 Aug 2024 -,2000 - 5000 UAE Dirhams(Monthly),"Electrical, Mechanical, Technical Troubleshooting"
"Consultancy, Training and Education",,URGENT REQUIREMENT - DUBAI(LIFT & ELEVATOR COMPANY),"URGENT REQUIREMENT - DUBAI(LIFT & ELEVATOR COMPANY)

* LIFT TECHNICIAN(INSTALLATION) - AED 2500 - 3000
*ASST LIFT TECHNICIAN(INSTALLATION) - AED 17...",Dubai,SKM CONSULTANT,,,Full time,Diploma,,Junior Level,,3+ Years,https://www.gulfjobs.com/job/urgent-requirement-dubailift-elevator-company-71532,12 Aug 2024 -,1750 - 3000 UAE Dirhams(Monthly),Installation
"Human Resources, Recruitment, and Organizational Development",,admin administration/ HR/ CSR,"We are looking for UAE Nationals for an Admin/HR/CSR role to join our team.

If you are interested, or if you know anyone who might be a great fit,...",Dubai,HR ORB FZE,,,Contract,Bachelors,,Student,,Fresh,https://www.gulfjobs.com/job/admin-administration-hr-csr-69249,21 May 2024 -,5000 -  UAE Dirhams(Monthly),"Admin HR, Business Communication"
"Agriculture, Forestry, and Environmental Science",,Elevator Technician and foreman,"Need Elevator Supervisor and foreman for a reputed company.

Accommodation and Transportation provided by the company

Attractive salary according...",Doha,Fanar arab,,,Contract,Bachelors,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/elevator-technician-and-foreman-68495,30 Apr 2024 -,2000 - 5000 Qatar Rials(Monthly),"Electrician, Forklift, Technician"
Manufacturing and Production,,Lift Technician,"DUTIES & RESPONSIBILITIES: 
 
a. You will work towards ensuring quality service, improving equipment safety and performance
b. Promoting regular an...",Dubai,AL JAR International Spanish Elevators Est.,,,Contract,Certification,,Entry,,1+ Years,https://www.gulfjobs.com/job/lift-technician-68336,24 Apr 2024 -,1500 - 1800 UAE Dirhams(Monthly),"Elevators, Technical Services"
"Quality Assurance, Safety, and Compliance",,Sales Specialist,"In this role, you will be responsible for driving sales and promoting our elevator maintenance services to potential clients. 

*Key Responsibiliti...",Doha,IET (Hyundai Elevators and Fuji Elevators sole agents),,,Full time,Bachelors,,Junior Level,,3+ Years,https://www.gulfjobs.com/job/sales-specialist-68212,16 Apr 2024 -,5500 - 10000 Qatar Rials(Monthly),"B2B Sales, B2C Marketing, Client communication, Negotiation Skills"
"Communications, Marketing, and Sales",,Sales Representative,"**Job Title: Elevator Maintenance Services Sales Representative**

**Job Description:**

We are seeking a dynamic and results-driven individual to...",Doha,IET (Hyundai Elevators and Fuji Elevators sole agents),,,Full time,Bachelors,,Mid-Level,,5+ Years,https://www.gulfjobs.com/job/sales-representative-66774,26 Feb 2024 -,7000 - 10000 Qatar Rials(Monthly),"B2B Sales, B2C Marketing, Customer Relationship, Excellent communication skills., Negotiation Skills"
"Agriculture, Forestry, and Environmental Science",,Elevator technocian,Maintenance,Doha,Tdgi,,,Contract,Diploma,,Mid-Level,,4+ Years,https://www.gulfjobs.com/job/elevator-technocian-60599,11 Nov 2023 -,3500 - 3000 Qatar Rials(Monthly),Technical Troubleshooting
"Architecture, Design, and Construction",,"Lift Technician ( Mechanical , Electrical )","1. Any kind of Lift installation.
2. Troubleshooting.
3. Maintenance.",Deira,Madinat Al Taqwa,,,Contract,,,Junior Level,,3+ Years,https://www.gulfjobs.com/job/lift-technician-mechanical-electrical-60532,10 Nov 2023 -,2000 - 3000 UAE Dirhams(Monthly),Elevators
"Agriculture, Forestry, and Environmental Science",,Lift / Elevator technician,"1. Sound knowledge in all kind of lift installation,  testing- commissioning and maintenance.
2. proper knowledge of troubleshooting.
3. verse know...",Dubai,Momica Technical services co,,,Contract,No Education,,Mid-Level,,5+ Years,https://www.gulfjobs.com/job/lift-elevator-technician-60112,05 Nov 2023 -,2000 - 3000 UAE Dirhams(Monthly),Elevators
"Architecture, Design, and Construction",,Senior Electrician & Electrician Helper,"Installation of Electrical wiring and fixtures in buildings.
Installation of conduits and pipes to electrical wires and cables.
Ensures piping comp...",Dubai,M/s Ampcore Electrical Fitting Contracting LLC,,,Full time,Diploma,,Student,,Fresh,https://www.gulfjobs.com/job/senior-electrician-electrician-helper-73167,19 Sep 2024 -,1200 -  UAE Dirhams(Monthly),Electrician
"Logistics, Supply Chain, and Transportation",,Driver (3Ton Pickup),Looking for 2 Years of Experienced Driver for our 3 Ton Pickup. Own visa will be preferred,Dubai,Shear and Shape Technical Services LLC,,,Full time,No Education,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/driver-3ton-pickup-73097,18 Sep 2024 -,2000 - 2500 UAE Dirhams(Monthly),Driving
Health and Wellness,,Tig & Arc Welder,"Looking of Experienced TIG and ARC Welder for a Fabrication Company situated in Al Quoz Industrial Area 4, Who is capable for do SS, Aluminum and M...",Dubai,Shear and Shape Technical Services LLC,,,Full time,No Education,,Entry,,1+ Years,https://www.gulfjobs.com/job/tig-arc-welder-73096,18 Sep 2024 -,1500 - 2000 UAE Dirhams(Monthly),Tig Welding
Health and Wellness,,"Urgent hiring RE,ARE,HSE,QS,QC,Inspectore,Surveyors and Doent Controllers","A reputed Engineering Consultancy firm is looking for experienced Resident Engineers, Assistant Resident Engineers, Safety Officers, Quantity Surve...",Abu Dhabi,Abu Dhabi Jobs,,,Full time,,,Mid-Level,,5+ Years,https://www.gulfjobs.com/job/urgent-hiring-rearehseqsqcinspectoresurveyors-and-doent-controllers-73079,17 Sep 2024 -,1 - 2 UAE Dirhams(Monthly),"Civil Engineering, Civil Works, Engineering"
International Development and NGO,,Safety Officer,"We’re Hiring a Safety Officer! 
is looking for a dedicated and experienced Safety Officer to join our team!
Location: Dubai
Key Responsibilities:
C...",Dubai,Al Manzool,,,Contract,Bachelors,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/safety-officer-73075,17 Sep 2024 -,4000 - 4500 UAE Dirhams(Monthly),Industrial Safety
Engineering and Technology,,Electronic Engineer,We need Electronic Engineer for Security System Company in *Abu dhabi. Minimum 5 years work experience must in same field and Candidate should be a...,Dubai,Wazaf Human Resource Consultancy,,,Full time,Diploma,,Mid-Level,,5+ Years,https://www.gulfjobs.com/job/electronic-engineer-73049,17 Sep 2024 -,2500 - 3000 UAE Dirhams(Monthly),"Electrical diploma engineering, electrical engineer maintenance"
Engineering and Technology,,Electrical engineer,Seeking for electrical engineer with experience of 2-3 years.,Hawally,Sda kuwait global for buildings construction,,,Contract,Bachelors,,Junior Level,,3+ Years,https://www.gulfjobs.com/job/electrical-engineer-73031,16 Sep 2024 -,300 - 400 Kuwait Dinar(Monthly),AutoCAD 3D
"Architecture, Design, and Construction",,Electrical Technician with Driving Licence,salary - 4200 for 8 hours plus overtime. Accommodation & Transportation Provided by company.,Dubai,SRB Human Resources,,,Full time,Diploma,,Mid-Level,,5+ Years,https://www.gulfjobs.com/job/electrical-technician-with-driving-licence-73029,16 Sep 2024 -,4000 - 4200 UAE Dirhams(Monthly),Electrician
Engineering and Technology,,Mechanical Engineer,Candidate with diploma in Mechanical engineering with 2 years experience and driving licence required for a electromechanical company in Ras Al Kha...,Ras Al Khaimah,KPA Electromechanical,,,Contract,,,Entry,,1+ Years,https://www.gulfjobs.com/job/mechanical-engineer-73018,16 Sep 2024 -,2000 - 3000 UAE Dirhams(Monthly),Mechanical Engineer Fresher
"Logistics, Supply Chain, and Transportation",,HVAC Technician Driver,"HVAC technician who can handle package ,VRF.Duct. And all cooling systems. 
With UAE driving license.",Ajman,Ahdaf Central A/c Maintenance LLC,,,Contract,Diploma,,Junior Level,,3+ Years,https://www.gulfjobs.com/job/hvac-technician-driver-72975,16 Sep 2024 -,2000 - 2500 UAE Dirhams(Monthly),"Ac Drives, AC Maintenance"
"Agriculture, Forestry, and Environmental Science",,Food Delivery Boy,"We are hiring for Food Delivery Boys
Only Males can apply
Asian Nationality can Apply

Below are the Job Responsibilities:

* Manage multiple order...",Sharjah,Al Sultan,,,Full time,,,Entry,,1+ Years,https://www.gulfjobs.com/job/food-delivery-boy-73127,19 Sep 2024 -,2500 - 2998 UAE Dirhams(Monthly),Courier Delivery
Engineering and Technology,,Graphic & Web Designer,"URGENT HIRING
3500 to 4000 aed 

Role Description
This is a full-time on-site role for a Graphic Designer located in Dubai, United Arab Emirates. T...",Dubai,Richman General Trading llc,,,Contract,Bachelors,,Junior Level,,3+ Years,https://www.gulfjobs.com/job/graphic-web-designer-73116,18 Sep 2024 -,3500 - 4000 UAE Dirhams(Monthly),"Adobe Illustrator, Adobe Photoshop, Adobe Premiere"
International Development and NGO,,Field Sale Executive,We are looking for a sales person who has experience in UAE for door fitting and glass fittings.,Dubai,Hakimi building material llc,,,Contract,,,Mid-Level,,4+ Years,https://www.gulfjobs.com/job/field-sale-executive-73111,18 Sep 2024 -,2000 - 5000 UAE Dirhams(Monthly),Building Material
"Communications, Marketing, and Sales",,International Sales Executive,We are seeking a dynamic and results-driven International Sales Executive to join our team. The ideal candidate will be responsible for identifying...,Dubai,S&N Star Foodstuff Trading,,,Contract,Bachelors,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/international-sales-executive-73100,18 Sep 2024 -,3000 -  UAE Dirhams(Monthly),Import & Export
"Accounting, Finance, and Insurance",,Purchase Asstt,We are looking for a Purchase Asstt with a professional Attitude & fluent English is required for a Building Materials Trading Company in Dubai. Ca...,Dubai,AL RAHA INTERNATIONAL BUILDING MATERIALS TRADING LLC,,,Full time,Diploma,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/purchase-asstt-73099,18 Sep 2024 -,3000 - 4500 UAE Dirhams(Monthly),"Electrical Products, Hardware Sales, Mechanical Electrical Plumbing, Plumbing"
"Hospitality, Tourism, and Customer Service",,Customer Service Support Assistant,We are seeking a motivated Customer Service Support Assistant to join our team. The ideal candidate will be responsible for maintaining the company...,Dubai,BNO Corp General Trading LLC,,,Contract,Diploma,,Entry,,1+ Years,https://www.gulfjobs.com/job/customer-service-support-assistant-73055,17 Sep 2024 -,2000 - 3000 UAE Dirhams(Monthly),Customer Service
Relationship and Stakeholder Management,,Logistics coordinator,Logistics Coordinator,Abu Dhabi,Gebal group,,,Full time,,,Mid-Level,,5+ Years,https://www.gulfjobs.com/job/logistics-coordinator-73045,17 Sep 2024 -,6000 -  UAE Dirhams(Monthly),Logistics
"Logistics, Supply Chain, and Transportation",,Light Vehicle Driver,"Employee need  to drive and  deliver the Amazon product.

Visa will be provided.
Looking for humble geniune response driver.who can work with us fo...",Dubai,Steller Express Delivery Services LLC,,,Contract,No Education,,Entry,,1+ Years,https://www.gulfjobs.com/job/light-vehicle-driver-73037,17 Sep 2024 -,2600 - 3000 UAE Dirhams(Monthly),"Courier Delivery, Driving"
"Communications, Marketing, and Sales",,Sales Executive,MARBLE TRADING & CONTRACTING COMPANY IN SHARJAH REQUIRED OUTDOOR SALES EXECUTIVE. CANDIDATES WITH 2-YEARS EXPERIENCE IN MARBLE PREFERED. FRESH CAND...,Sharjah,SAS MARBLE LLC,,,Contract,Secondary School,,Student,,Fresh,https://www.gulfjobs.com/job/sales-executive-73016,16 Sep 2024 -,3000 -  UAE Dirhams(Monthly),Outside Sales
"Architecture, Design, and Construction",,Cleaner for Residential Building,"We are hiring a Cleaner for our residential building in Sharjah. 
Candidates with some experience in cleaning can apply. 
Only Asians can apply. 
T...",Sharjah,Al Naqeeb llc,,,Full time,,,Student,,Fresh,https://www.gulfjobs.com/job/cleaner-for-residential-building-72983,16 Sep 2024 -,1500 - 2000 UAE Dirhams(Monthly),Cleaning
Health and Wellness,,Pilates Instructor,"Join our team in Amwaj / Dilmunia and help clients achieve their fitness goals with authentic effective pilates method!

- Certification from a rec...",Manama,pilates time,,,Part time,Certification,,Entry,,1+ Years,https://www.gulfjobs.com/job/pilates-instructor-73156,19 Sep 2024 -,1 -  Bahrain Dinar(Monthly),Fitness
Health and Wellness,,Ayurveda Therapist,"HIRING NOW 
Overseas hiring, From India to Kuwait !

For a leading Ayurveda Beauty Clinic in Kuwait.

Massage therapist - 5
Skin therapist - 2
Hair...",Jabriya,ASPIRROW,,,Contract,Certification,,Entry,,1+ Years,https://www.gulfjobs.com/job/ayurveda-therapist-73057,17 Sep 2024 -,200 - 650 Kuwait Dinar(Monthly),"Nails Technician, Hair Care, Massage, Skin Care, Spa, Therapist"
Health and Wellness,,Manicure/Pedicure (All Around Beautician),"We’re looking for professionals who not only excel in nail care but also possess a charming, cheerful, and friendly personality. If you have strong...",Dubai,Pankhurst Gent's Salon LLC,,,Full time,Certification,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/manicurepedicure-all-around-beautician-73024,16 Sep 2024 -,3000 - 3500 UAE Dirhams(Monthly),"Manicure, Beautician"
"Quality Assurance, Safety, and Compliance",,Massage and Moroccan Bath Specialist,"Here at Areej Ladies Salon,we are dedicated to providing a relaxing experience to our clients. Our environment, skilled staff, and commitment to ex...",Dubai,Areej Ladies Salon,,,Contract,,,Junior Level,,3+ Years,https://www.gulfjobs.com/job/massage-and-moroccan-bath-specialist-73005,16 Sep 2024 -,2500 -  UAE Dirhams(Monthly),Beautician
"Communications, Marketing, and Sales",,sales,"Job Title: Indoor Salesperson & Online Marketing Associate
Location:  Dubai
Job Overview:
We are seeking a motivated and enthusiastic fresher to jo...",Dubai,Body Plus Nutrition,,,Contract,Bachelors,,Student,,Fresh,https://www.gulfjobs.com/job/sales-72928,14 Sep 2024 -,2000 - 2500 UAE Dirhams(Monthly),Nutrition
Manufacturing and Production,,RUSSIAN NAIL TECHNICIAN,"KLASS BEAUTY LOUNGE is looking for a skilled RUSSIAN NAIL TECHNICIAN to join our team.

Responsibilities:

*  Perform Russian manicures and pedicur...",Dubai,Klass Beauty Lounge,,,Full time,,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/russian-nail-technician-72896,13 Sep 2024 -,7000 -  UAE Dirhams(Monthly),Nails Technician
"Advertising, Media Journalism and Public Relations",,Freelance Pilates Instructor OR Yoga Instructor,Job Summary: We are seeking a dedicated and experienced Freelance Pilates Instructor OR Yoga Instructor to lead engaging and effective sessions for...,Doha,Tawazen Studio,,,Contract,Certification,,Mid-Level,,4+ Years,https://www.gulfjobs.com/job/freelance-pilates-instructor-or-yoga-instructor-72820,12 Sep 2024 -,3000 - 3500 Qatar Rials(Monthly),"Coach, Yoga"
"Communications, Marketing, and Sales",,Join our brand new salon in the NEOM City,"Are you, a talented hairstylist or beautician looking for your next career move? You Matter Salon is hiring and we want YOU to be a part of our dyn...",Tabuk,AB-Leaders,,,Contract,Secondary School,,Entry,,1+ Years,https://www.gulfjobs.com/job/join-our-brand-new-salon-in-the-neom-city-72652,07 Sep 2024 -,1500 - 2000 Saudi Riyals(Monthly),"Beautician, Hair Dresser, Hair Care"
Business and Management,,Ladies Beauty Salon Manager,We are looking for a Ladies Beauty Salon Manager. Candidate should have to manage the entire working of the salon with adequate records. Indians on...,Abu Dhabi,Confidential,,,Contract,Bachelors,,Entry,,1+ Years,https://www.gulfjobs.com/job/ladies-beauty-salon-manager-72493,03 Sep 2024 -,2000 - 2500 UAE Dirhams(Monthly),Administration
"Creative Arts, Event Management and Entertainment",,Henna artist,"Apply henna to customer 
Give the neat and pleasant design",Ajman,Perle Beauty Women Personal Care Center,,,Contract,,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/henna-artist-72292,29 Aug 2024 -,1000 - 1200 UAE Dirhams(Monthly),Asp.Net
"Communications, Marketing, and Sales",,Van Sales man,"FMCG experience 
Minimum 2 years 
Driving license minimum 2 years 
Dairy products experience 
Available in UAE",Ajman,Basmat alriyadah foodstuff,,,Contract,Secondary School,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/van-sales-man-73163,19 Sep 2024 -,1800 - 2500 UAE Dirhams(Monthly),F&B
Health and Wellness,,Waiter,"KUDU HIRING WAITER FOR KUDU  RESTAURANT 

Hiring for KUDU Restaurant in KSA 

Location: KSA 
Company: KUDU GROUP OF RESTAURANT 
Interview Mode: Dir...",Riyadh,THREE STAR ENTERPRISES,,,Full time,,,Student,,Fresh,https://www.gulfjobs.com/job/waiter-73150,19 Sep 2024 -,1330 -  Saudi Riyals(Monthly),Fresh Graduate
"Architecture, Design, and Construction",,Truck Driver Licence No. 4,"We Required 5 Truck Mounted crane operators Drivers, Salary - 3000 for 8 hours plus Overtime. Any Nationality",Dubai,SRB Human Resources,,,Full time,,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/truck-driver-licence-no-4-73028,16 Sep 2024 -,3000 - 3000 UAE Dirhams(Monthly),Device Drivers
Business and Management,,Sales Manager,"We are looking for a Sales Manager, preferably experience in a Food Manufacturing company
- Responsible for preparing and setting marketing and sal...",Doha,Food Factory,,,Full time,Bachelors,,Mid-Level,,5+ Years,https://www.gulfjobs.com/job/sales-manager-73009,16 Sep 2024 -,10000 - 10000 Qatar Rials(Monthly),Corporate Sales
Business and Management,,General Manager,"We are looking for an effective General Manager with experience on Food Industry Factory

-manage, direct and monitor the overall performance of th...",Doha,Food Factory,,,Contract,Masters,,Mid-Level,,4+ Years,https://www.gulfjobs.com/job/general-manager-73003,16 Sep 2024 -,20000 - 25000 Qatar Rials(Monthly),General Management
"Communications, Marketing, and Sales",,International Sales Executive,"Their primary duties include approaching prospective customers, winning new clients, maintaining good relationships with businesses and setting sal...",Deira,S&N STAR FOOD STUFF TRADING LLC,,,Full time,Bachelors,,Entry,,1+ Years,https://www.gulfjobs.com/job/international-sales-executive-72989,16 Sep 2024 -,3000 - 5000 UAE Dirhams(Monthly),International Sales
"Communications, Marketing, and Sales",,Sales Executive,"Hiring (URGENT) - Sales Person
* Job Details:
Dabouq Foodstuff Trading an entrepreneur company in Foodstuff especially in Ice Cream distribution wh...",Dubai,Dabouq Foodstuff Trading LLC,,,Contract,,,Mid-Level,,5+ Years,https://www.gulfjobs.com/job/sales-executive-72830,12 Sep 2024 -,4000 - 5000 UAE Dirhams(Monthly),"Business Communication Skills, Business Research, Car Driving"
"Communications, Marketing, and Sales",,sales & account assist,salesman  cashier in wholesale foodstuff company,Dubai,VAAJI GENERAL TRADING LLC,,,Full time,Bachelors,,Student,,Fresh,https://www.gulfjobs.com/job/sales-account-assist-72709,09 Sep 2024 -,1000 - 1500 UAE Dirhams(Monthly),"Accounts Tally, Excel"
"Logistics, Supply Chain, and Transportation",,Warehouse Supervisor,"Team Management:
Supervise and lead warehouse staff, including training new employees and facilitating ongoing development.
Schedule shifts and ass...",Dubai,Sayed mahbobi cosmetics trading llc,,,Contract,Bachelors,,Entry,,1+ Years,https://www.gulfjobs.com/job/warehouse-supervisor-72684,08 Sep 2024 -,2300 - 2500 UAE Dirhams(Monthly),"English, Team-Work"
"Hospitality, Tourism, and Customer Service",,Tandoor Chef,"URGENTLY HIRING for Tandoor Chef 
Salary up to 2000 based on Experience 
Immediate Joining
+ Food + Accommodation + Visa + Insurance
Work Location...",Dubai,Nazia Mohammed,,,Full time,,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/tandoor-chef-72683,08 Sep 2024 -,1800 - 2000 UAE Dirhams(Monthly),Chef
"Communications, Marketing, and Sales",,Sales Representative,"We are seeking a dynamic and results-driven Sales representative to join our team. The ideal candidate will have strong communication skills, a pas...",Sharjah,feathearscane@gmail,,,Full time,Bachelors,,Mid-Level,,4+ Years,https://www.gulfjobs.com/job/sales-representative-73159,19 Sep 2024 -,2500 - 3000 UAE Dirhams(Monthly),Field Sales
"Architecture, Design, and Construction",,Interior Designer,"We seek a highly creative and talented Interior Designer to join our dynamic team. The ideal candidate will have a passion for design, a keen eye f...",Dubai,TOP WOOD WOODEN DOORS & WINDOWS MANUFACTURING,,,Contract,Bachelors,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/interior-designer-73143,19 Sep 2024 -,4000 -  UAE Dirhams(Monthly),"AutoCAD 2D, AutoCAD 3D, AutoCAD Drafting, Interior design"
"Architecture, Design, and Construction",,Furniture Sales Representative,"As a Sales Representative in the furniture industry, your primary responsibility is to drive sales of furniture products by establishing and mainta...",Dubai,ART BY BALBIR CARPENTER LLC,,,Contract,Bachelors,,Junior Level,,3+ Years,https://www.gulfjobs.com/job/furniture-sales-representative-73139,19 Sep 2024 -,3000 - 4000 UAE Dirhams(Monthly),"Client communication, Interior design, Marketing Sales, Negotiation Skills"
Administrative and Secretarial Services,,Sales Coordinator,Female Required for Sales with Driving Licence,Dubai,SRB Human Resources,,,Full time,Bachelors,,Student,,Fresh,https://www.gulfjobs.com/job/sales-coordinator-73030,16 Sep 2024 -,3000 - 4000 UAE Dirhams(Monthly),After Sales Service
"Communications, Marketing, and Sales",,outdoor sales,"We  wants to hire employees as outdoor sales-person for several departments BUT must have (( UAE market experience 
-with own car and drive's licen...",Dubai,Royal Lighting LLC,,,Contract,,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/outdoor-sales-72858,12 Sep 2024 -,4000 - 5500 UAE Dirhams(Monthly),"Construction, Furniture"
"Quality Assurance, Safety, and Compliance",,Project Engineer,"**Job Description: Project Engineer - Decor and Interior Design Company** - Oman (Sohar and Muscat) 

**Key Responsibilities:**

- Collaborate with...",Sohar,Decoration One LLc,,,Contract,Certification,,Mid-Level,,5+ Years,https://www.gulfjobs.com/job/project-engineer-72124,26 Aug 2024 -,3799 - 4500 UAE Dirhams(Monthly),"3D Modeling, AutoCAD 3D, Civil Project Management, Civil Works, Interior Decoration, Wood Carpenter"
"Consultancy, Training and Education",,Outdoor Salesman,Looking for an outdoor salesman. Well experienced in outdoor sales preferably in furniture industry. Qatar Driving License Holder. Local Hire only....,Doha,Eiffel Furniture,,,Contract,Bachelors,,Mid-Level,,5+ Years,https://www.gulfjobs.com/job/outdoor-salesman-71797,19 Aug 2024 -,5000 - 7000 Qatar Rials(Monthly),Sales
"Communications, Marketing, and Sales",,Sales Executive,We are excited to announce a full-time Sales Executive position at Starlam Building Material Trading LLC in Dubai. We are seeking a highly motivate...,Dubai,Starlam building materials trading llc,,,Full time,Bachelors,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/sales-executive-71712,16 Aug 2024 -,4000 - 6000 UAE Dirhams(Monthly),Building Material
